project,avg_block_statement_count,avg_script_width_count,avg_variable_length_count,backdrop_count,block_count,category_entropy,cohesion,ct_score_average,ct_score,ct_score_abstraction,ct_score_data_representation,ct_score_flow_control,ct_score_logic,ct_score_parallelization,ct_score_synchronization,ct_score_user_interactivity,control_block_count,costume_count,events_block_count,halstead_difficulty,halstead_effort,halstead_length,halstead_size,halstead_volume,hat_count,interprocedural_cyclomatic_complexity,length_longest_script,looks_block_count,most_complex_script,motion_block_count,my_blocks_block_count,nested_block_count,operators_block_count,pen_block_count,procedure_count,using_pen,script_count,sensing_block_count,sound_block_count,sprite_count,stacked_statement_count,statement_count,token_entropy,variable_count,variables_block_count,weighted_method_count,weighted_method_count_strict
StarCatching-Score,1.4166666666666667,1614.0,7.0,1.0,85.0,12.978792979325938,3.5796356421356417,2.4285714285714284,17.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,24.0,6.0,6.0,32.516129032258064,27015.762730368395,139.0,63.0,830.8419093664884,7.0,24.0,16.0,4.0,6.0,17.0,0.0,4.0,8.0,0.0,0.0,0.0,7.0,8.0,1.0,3.0,3.0,60.0,6.219238554551131,3.0,12.0,20.0,20.0
Balloons-Score,1.2307692307692308,679.0,4.5,1.0,32.0,7.934899143170528,2.4410256410256412,1.8571428571428572,13.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,9.0,2.0,3.0,16.61111111111111,5072.708823039222,57.0,41.0,305.38046426323075,4.0,10.0,9.0,5.0,2.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,3.0,26.0,5.455525540404616,2.0,5.0,7.0,7.0
CatchingApples-Score,1.4,646.0,5.0,1.0,35.0,6.372385855673376,1.3922077922077922,1.7142857142857142,12.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,12.0,2.0,2.0,11.5,3304.9173469250522,54.0,40.0,287.3841171239176,3.0,14.0,10.0,2.0,4.0,6.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,25.0,5.569702316978282,1.0,2.0,10.0,10.0
Ghostbusters-Score,1.3157894736842106,1424.0,4.5,2.0,75.0,19.61654166907052,7.222222222222223,1.7142857142857142,12.0,1.0,2.0,3.0,0.0,2.0,2.0,2.0,15.0,7.0,10.0,21.09090909090909,14610.230197426941,132.0,38.0,692.7264317745532,10.0,17.0,8.0,16.0,2.0,4.0,0.0,1.0,17.0,0.0,0.0,0.0,10.0,0.0,5.0,4.0,2.0,57.0,5.394783468132283,2.0,8.0,15.0,15.0
BirdShooter-Score,1.3768115942028984,1552.0,5.666666507720947,2.0,95.0,19.18195757243786,6.73946053946054,2.4285714285714284,17.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,26.0,6.0,10.0,29.33823529411765,24910.65256598339,139.0,69.0,849.0848994921656,10.0,31.0,13.0,10.0,4.0,16.0,3.0,2.0,8.0,0.0,1.0,0.0,10.0,7.0,1.0,4.0,4.0,69.0,6.343957084141564,3.0,6.0,25.0,25.0
FlappyParrot-Score,1.325,1014.0,5.0,1.0,53.0,13.286762176472182,4.6782051282051285,2.2857142857142856,16.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,17.0,3.0,6.0,16.838709677419356,8255.546514365635,83.0,60.0,490.271919435507,7.0,18.0,10.0,7.0,5.0,8.0,0.0,3.0,3.0,0.0,0.0,0.0,7.0,4.0,2.0,2.0,3.0,40.0,6.0858828048409075,1.0,2.0,15.0,15.0
Snake-Score,1.3333333333333333,1565.0,10.5,1.0,80.0,21.934020164638312,10.497243107769421,2.7142857142857144,19.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,17.0,4.0,15.0,26.666666666666668,20235.155851775606,126.0,65.0,758.8183444415852,14.0,29.0,11.0,9.0,4.0,13.0,0.0,2.0,7.0,0.0,0.0,0.0,14.0,4.0,2.0,3.0,3.0,60.0,6.148679701326048,2.0,8.0,21.0,21.0
MetroidShooter-Score,1.595505617977528,2588.0,16.0,1.0,142.0,26.35047497469279,6.0909645909645915,2.4285714285714284,17.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,41.0,4.0,9.0,43.95348837209303,59441.883986566376,211.0,85.0,1352.381487525055,13.0,43.0,12.0,15.0,4.0,18.0,0.0,2.0,16.0,0.0,0.0,0.0,13.0,12.0,3.0,3.0,3.0,89.0,6.812582871816545,4.0,16.0,35.0,35.0
SpaceQuiz-Score,1.4651162790697674,1399.0,5.0,1.0,63.0,8.32973638307982,3.0912280701754384,1.7142857142857142,12.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,8.0,4.0,11.0,16.8,9851.87385127212,105.0,48.0,586.4210625757214,5.0,20.0,24.0,9.0,4.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,5.0,8.0,2.0,4.0,2.0,43.0,5.707694655675143,1.0,5.0,11.0,11.0
CloneWars-Score,1.368421052631579,1758.0,5.0,2.0,104.0,25.077478288515668,11.635714285714286,2.7142857142857144,19.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,31.0,8.0,16.0,23.529411764705884,19910.94533435726,140.0,66.0,846.2151767101835,17.0,37.0,9.0,12.0,4.0,12.0,0.0,2.0,6.0,0.0,0.0,0.0,17.0,8.0,0.0,6.0,4.0,76.0,6.329796939902562,3.0,7.0,31.0,31.0
FruitCatching-Score,1.3461538461538463,1169.0,4.5,2.0,70.0,8.427947739564473,1.371345029239766,1.4285714285714286,10.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,17.0,3.0,4.0,20.833333333333336,12397.45930065553,109.0,44.0,595.0780464314654,4.0,18.0,21.0,10.0,4.0,15.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,6.0,0.0,3.0,2.0,52.0,5.694168247888505,2.0,8.0,15.0,15.0
Sprint-Score,1.6282051282051282,2112.0,4.5,1.0,127.0,18.071515356679875,5.25462962962963,2.4285714285714284,17.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,23.0,8.0,10.0,38.5,41018.650776486335,194.0,45.0,1065.4195006879568,9.0,32.0,15.0,17.0,6.0,18.0,0.0,1.0,12.0,0.0,0.0,0.0,9.0,16.0,5.0,4.0,2.0,78.0,5.45930810897539,2.0,9.0,30.0,30.0
RioShootout-Score,1.312,2999.0,2.75,1.0,164.0,41.652698563819285,17.785714285714285,2.2857142857142856,16.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,32.0,11.0,32.0,43.77358490566038,81082.4232992756,289.0,85.0,1852.3139805437959,26.0,51.0,11.0,25.0,4.0,27.0,0.0,2.0,15.0,0.0,0.0,0.0,26.0,4.0,4.0,8.0,6.0,125.0,6.7234043731717215,4.0,15.0,43.0,43.0
VirusBuster-Score,1.5128205128205128,1086.0,7.5,4.0,59.0,10.324403619555675,3.1284313725490196,2.2857142857142856,16.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,13.0,8.0,6.0,20.714285714285715,11115.821826993952,92.0,57.0,536.6258813031562,6.0,19.0,12.0,6.0,6.0,9.0,0.0,2.0,5.0,0.0,0.0,0.0,6.0,7.0,2.0,3.0,3.0,39.0,6.145791439729159,2.0,4.0,15.0,15.0
GuessTheFlag-Score,1.3518518518518519,1626.0,9.399999618530273,1.0,73.0,10.658868108330005,3.855555555555555,1.8571428571428572,13.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,7.0,12.0,9.0,27.75,23472.089313390756,138.0,70.0,845.8410563384056,5.0,17.0,13.0,7.0,3.0,3.0,7.0,2.0,4.0,0.0,3.0,0.0,5.0,0.0,3.0,2.0,4.0,54.0,6.316984243609917,5.0,29.0,12.0,12.0
SpaceShooter-Score,1.7580645161290323,1771.0,9.666666984558105,2.0,109.0,13.294418734159786,3.4943424391700257,2.2857142857142856,16.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,24.0,6.0,5.0,28.027027027027028,26026.22843788864,151.0,71.0,928.611815045207,7.0,29.0,18.0,7.0,7.0,25.0,0.0,4.0,15.0,0.0,0.0,0.0,7.0,13.0,0.0,4.0,5.0,62.0,6.55632713363175,3.0,8.0,23.0,23.0
SpaceJunk-Survive,1.1940298507462686,1537.0,4.0,1.0,80.0,18.3805829605363,8.214918414918415,1.5714285714285714,11.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,20.0,10.0,12.0,24.0,16574.623459828093,123.0,49.0,690.6093108261706,12.0,35.0,10.0,5.0,3.0,28.0,0.0,2.0,1.0,0.0,0.0,0.0,12.0,5.0,0.0,7.0,2.0,67.0,5.736190957006351,1.0,3.0,25.0,25.0
CATS-Score,1.2727272727272727,752.0,5.0,1.0,42.0,5.719322636072695,1.2765151515151514,2.142857142857143,15.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,14.0,4.0,2.0,16.676470588235293,5371.598998184515,59.0,44.0,322.1064654996006,3.0,13.0,15.0,3.0,5.0,5.0,0.0,2.0,1.0,6.0,0.0,1.0,3.0,5.0,1.0,3.0,2.0,33.0,5.577558303599125,1.0,2.0,10.0,10.0
CatchTheGifts-Score,1.3970588235294117,1676.0,6.75,2.0,95.0,19.274314612098586,6.389329189329189,2.2857142857142856,16.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,19.0,6.0,7.0,35.0,33251.62277294303,153.0,74.0,950.0463649412295,7.0,24.0,21.0,13.0,4.0,11.0,11.0,2.0,12.0,0.0,4.0,0.0,7.0,3.0,0.0,3.0,4.0,68.0,6.571533614133503,4.0,15.0,21.0,21.0
HackAttack-Score,1.2580645161290323,1983.0,5.5,1.0,117.0,26.313251460068194,13.267318465847877,2.142857142857143,15.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,27.0,14.0,24.0,31.0,32835.774565704334,174.0,68.0,1059.218534377559,19.0,44.0,11.0,25.0,4.0,13.0,0.0,2.0,3.0,0.0,0.0,0.0,19.0,8.0,0.0,6.0,2.0,93.0,6.245478697158434,2.0,6.0,37.0,37.0
BinaryHero-Score,1.4339622641509433,2787.0,4.75,3.0,152.0,20.497757677783547,5.877559282822441,2.5714285714285716,18.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,25.0,23.0,16.0,39.60526315789473,66658.78610308887,258.0,92.0,1683.0789846627094,11.0,63.0,27.0,17.0,6.0,2.0,32.0,2.0,8.0,0.0,3.0,0.0,11.0,14.0,1.0,5.0,8.0,106.0,6.970666823997096,4.0,17.0,34.0,34.0
Pong-Survive,1.4,412.0,0.0,1.0,21.0,4.196325565235062,1.175,1.2857142857142858,9.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,7.041666666666666,1046.4155947625711,32.0,25.0,148.60339807279118,2.0,8.0,11.0,0.0,4.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,15.0,4.875,0.0,0.0,6.0,6.0
PaddleGame-Score,1.4324324324324325,974.0,5.0,5.0,53.0,12.31456282660445,4.306349206349206,2.0,14.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,12.0,3.0,7.0,18.0,8058.121069108651,82.0,44.0,447.67339272825836,7.0,19.0,8.0,1.0,4.0,13.0,0.0,2.0,6.0,0.0,0.0,0.0,7.0,3.0,0.0,3.0,4.0,37.0,5.70853638329036,2.0,8.0,16.0,16.0
FinalFight-Survive,1.456140350877193,6735.0,4.5,1.0,415.0,73.38642048548525,30.164821582289495,2.4285714285714284,17.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,92.0,41.0,61.0,50.972972972972975,219006.99019970975,589.0,157.0,4296.531621097169,47.0,117.0,20.0,83.0,8.0,35.0,0.0,3.0,39.0,0.0,0.0,0.0,47.0,19.0,8.0,13.0,6.0,285.0,7.602314526348632,2.0,30.0,101.0,101.0
GreenYourCity-Score,1.6538461538461537,1344.0,5.0,4.0,86.0,16.140826480912757,4.245580808080808,2.4285714285714284,17.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,22.0,7.0,7.0,36.94736842105263,25101.972666194677,123.0,46.0,679.3981205950126,8.0,24.0,10.0,4.0,4.0,19.0,0.0,2.0,11.0,0.0,0.0,0.0,8.0,8.0,0.0,6.0,4.0,52.0,5.329346697006623,1.0,6.0,22.0,22.0
BeatTheGoalie-Score,1.2666666666666666,752.0,5.0,1.0,38.0,8.394926605012754,4.841269841269842,1.7142857142857142,12.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,7.0,2.0,8.0,17.25,6252.474750171335,66.0,45.0,362.4623043577585,6.0,16.0,15.0,2.0,5.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,2.0,3.0,2.0,2.0,30.0,5.627579346565628,2.0,5.0,11.0,11.0
Skiing-Score,1.3,968.0,5.5,1.0,52.0,9.538683291564192,2.417094017094017,1.5714285714285714,11.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,10.0,4.0,5.0,18.0,8276.93987473828,87.0,39.0,459.82999304101554,5.0,12.0,12.0,7.0,4.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,2.0,40.0,5.4845058178573005,2.0,10.0,11.0,11.0
WeightLifter-Score,1.9375,921.0,6.333333492279053,1.0,62.0,7.52588279486438,1.4346153846153844,2.0,14.0,0.0,2.0,3.0,3.0,1.0,3.0,2.0,16.0,29.0,4.0,16.0,7724.949299788958,92.0,38.0,482.8093312368099,4.0,18.0,12.0,3.0,6.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,5.0,32.0,5.599436412484696,3.0,19.0,17.0,17.0
Memory-Score,1.396551724137931,1474.0,6.75,1.0,81.0,14.719757844087933,4.952380952380952,2.2857142857142856,16.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,12.0,9.0,15.0,35.0,27152.10301593687,133.0,57.0,775.7743718839106,10.0,30.0,15.0,7.0,4.0,0.0,5.0,2.0,7.0,0.0,1.0,0.0,10.0,2.0,3.0,5.0,5.0,58.0,5.82687081828527,4.0,20.0,20.0,20.0
CatchTheDots-Score,1.4634146341463414,2146.0,7.5,1.0,120.0,20.432134972958444,5.0857142857142845,2.2857142857142856,16.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,34.0,4.0,7.0,41.0,44077.21762443076,182.0,60.0,1075.0540884007503,10.0,30.0,13.0,6.0,4.0,14.0,2.0,2.0,4.0,0.0,1.0,0.0,10.0,8.0,6.0,4.0,4.0,82.0,6.074818799630981,6.0,31.0,27.0,27.0
